i know i was listenin to bad habit earlier and i started freakin at his part,0
layin n bed with a headache ughhhh waitin on your call,3
funeral ceremony gloomy friday,3
wants to hang out with friends soon,1
we want to trade with someone who has houston tickets but no one will,0
re pinging why didn t you go to prom bc my bf didn t like my friends,3
i should be sleep but im not thinking about an old friend who i want but he s married now damn amp he wants me 2 scandalous,3
hmmm is down,3
charlene my love i miss you,3
i m sorry at least it s friday,3
cant fall asleep,0
choked on her retainers,3
ugh i have to beat this stupid song to get to the next rude,3
if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,3
got the news,2
the storm is here and the electricity is gone,3
agreed,2
so sleepy again and it s not even that late i fail once again,3
lady gaga tweeted about not being impressed by her video leaking just so you know,3
how are you convinced that i have always wanted you what signals did i give off damn i think i just lost another friend,3
oh too bad i hope it gets better i ve been having sleep issues lately too,3
wondering why i m awake at 7am writing a new song plotting my evil secret plots muahahaha oh damn it not secret anymore,1
no topic maps talks at the balisage markup conference 2009 program online at via topic maps,0
i ate something i don t know what it is why do i keep telling things about food,3
so tired and i think i m definitely going to get an ear infection going to bed quot early quot for once,3
on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers damn i feel old,3
i m sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,3
damm servers still down i need to hit 80 before all the koxpers pass me,3
fudge just bs d that whole paper so tired ugh i hate school time to sleep,3
i hate cancer i hate it i hate it i hate it,3
it is so annoying when she starts typing on her computer in the middle of the night,4
123 i cant sleep,0
i missed the bl y bus,0
feels strong contractions but wants to go out,0
socal stoked or maybe not tomorrow,0
screw you i only have 3 weeks,0
radio yeah s i feel all funny cause i haven t slept enough i woke my mum up cause i was singing she s not impressed s you,3
i need skott right now,3
has work this afternoon,0
aw you would not unfollow me would you then i would cry,0
mmm much better day so far it s still quite early last day of uds,1
lt 3 your gonna be the first twitter cause your amazing lol come to canada would do anything to see you perform,1
just picked up her blackberry from the middle of the street both she and it are crushed,3
why do i have the feeling i should be packing and hitting for sfo around this time of the year i think i m missing something,3
middle school and elem high schools will remain open for those who need credits to graduate cali is broken,0
bed its time hope i go to school tomorrow all though i don t feel very well right now,3
ahh well i was hoping that i could learn some stuff on the way why not you and i work on separate things but also,3
i m having a problem with my photo here in twitter amf can t see my face,3
oh noooo if i blow a tire you re reaaaally going to have to send up some batman smoke,0
wnna take a bath,0
chocolate milk is so much better through a straw i lack said straw,0
why am i so tired,3
hey yu lil fucker i textd yu,0
time diff and i ve just been wrapped up in day to day stuff so i havent been tweeting talk soon must sleep up in 6hrs,0
no way damn that sucks b are you ok,0
sucks not being able to take days off of work or have the money to take the trip so sad,3
bed sorta today was good sara has strep thought angelina does to i shared a water with her b4 they told me i will prob get it to,1
the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but we ll cope,0
but i got dibs on sulu,0
aww onward and upwards now yay still sad to leave i bet,3
at once haha poor aby still gets sore,3
diesel yaris 70mpg so sad its not available in the us that d be awesome,3
i want to buy this great album but unfortunately i dont hav enuff funds its quot long time noisy quot,3
in all honesty pain blech,3
ok the passengers no one is alive they re all dead you just don t know it til the end then you cry,3
at home alone with not much to do,0
